CD Number,Company Name,Country Name,DUNS,locked_by,lock_timestamp,Status,Assigned To,Last Updated,Created Time,Completion Time
385045,"Zhejiang Shengda Bio-Pharm Co., Ltd.",CN,544882749.0,,,Open,,2025-02-10 13:56:30,2025-02-10 13:56:30,
22428,Rizhao Changhua Aquatic Foodstuff Company Limited,CN,,admin,2025-02-10 13:56:38.738663,Completed,,2025-02-10 13:56:30,2025-02-10 13:56:30,2025-02-10 13:56:52
20198,Proyecta Corp. Ltda,CL,,,,Open,,2025-02-10 13:56:30,2025-02-10 13:56:30,
659288,"Guangdong Jinhang Foods Co., Ltd.",CN,420813673.0,,,Open,,2025-02-10 13:56:30,2025-02-10 13:56:30,
163759,Bahlsen GMBH & Co. Kg,DE,341575780.0,,,Open,,2025-02-10 13:56:30,2025-02-10 13:56:30,
704422,"Ziba Nut, Inc.",US,147493431.0,,,Open,,2025-02-10 13:56:30,2025-02-10 13:56:30,
658746,Dalian Hualian Food Company Limited,CN,421517665.0,,,Open,,2025-02-10 13:56:30,2025-02-10 13:56:30,
732748,"Kingfisher Holding Co., Ltd. / Southeast Asian Packaging and Canning Ltd.",TH,,,,Open,,2025-02-10 13:56:30,2025-02-10 13:56:30,
290271,"New Lamthong Foods Industries Co., Ltd.",TH,,,,Open,,2025-02-10 13:56:30,2025-02-10 13:56:30,
110750,"Orlando Food Sales, Inc. / Orlando Food Corp",US,827241373.0,,,Open,,2025-02-10 13:56:30,2025-02-10 13:56:30,
241081,"Beihai Wanjing Marine Products Co., Ltd.",CN,527071015.0,,,Open,,2025-02-10 13:56:30,2025-02-10 13:56:30,
30880,Schwermer Dietrich Stiel GmbH,DE,316174655.0,,,Open,,2025-02-10 13:56:30,2025-02-10 13:56:30,
693082,Dalian Huaqi Food Company Limited,CN,542962500.0,,,Open,,2025-02-10 13:56:30,2025-02-10 13:56:30,
79731,"Juan Ramon Lozano, S.A. / Lozano (Bodegas) Juan Ramon Lozano S.A. / Bodegas Lozano",ES,466470374.0,,,Open,,2025-02-10 13:56:30,2025-02-10 13:56:30,
620825,Hoang Long Seafood Processing Company Limited,VN,555219190.0,,,Open,,2025-02-10 13:56:30,2025-02-10 13:56:30,
733758,Terravita Sp. z o.o.,PL,422193795.0,,,Open,,2025-02-10 13:56:30,2025-02-10 13:56:30,
76715,Exportadora Unifrutti Traders SpA,CL,980292130.0,,,Open,,2025-02-10 13:56:30,2025-02-10 13:56:30,
139711,Shandong Oriental Ocean Co.,CN,528130979.0,,,Open,,2025-02-10 13:56:30,2025-02-10 13:56:30,
734140,"Super J. International Co., Ltd.",TH,660484841.0,,,Open,,2025-02-10 13:56:30,2025-02-10 13:56:30,
154959,Pastiglie Leone s.r.l,IT,432178978.0,,,Open,,2025-02-10 13:56:30,2025-02-10 13:56:30,
85918,Piasten GmbH,DE,313228960.0,,,Open,,2025-02-10 13:56:30,2025-02-10 13:56:30,
734587,Dalian Great Wall Food Company Limited,CN,542957441.0,,,Open,,2025-02-10 13:56:30,2025-02-10 13:56:30,
734735,"Purdy's Chocolates / R.C. Purdy Chocolates, Ltd.",CA,203498824.0,,,Open,,2025-02-10 13:56:30,2025-02-10 13:56:30,
52424,"Justo Lopez Valcarcel, S.A.",ES,467010249.0,,,Open,,2025-02-10 13:56:30,2025-02-10 13:56:30,
55778,Max Riner AG,CH,,,,Open,,2025-02-10 13:56:30,2025-02-10 13:56:30,
449592,Foods Pacific Limited,FJ,631187171.0,,,Open,,2025-02-10 13:56:30,2025-02-10 13:56:30,
557455,Abastecedora de Jalapenos y Alimentos SA de CV,MX,815336342.0,,,Open,,2025-02-10 13:56:30,2025-02-10 13:56:30,
689,"Rio Import & Export, Limited",CA,247387665.0,,,Open,,2025-02-10 13:56:30,2025-02-10 13:56:30,
648573,"JFC Japan, Inc.",JP,690591870.0,,,Open,,2025-02-10 13:56:30,2025-02-10 13:56:30,
531346,Sandy Bay Seafoods (India) Private Limited,IN,650370633.0,,,Open,,2025-02-10 13:56:30,2025-02-10 13:56:30,
324284,Laufer Group International Limited,US,76831254.0,,,Open,,2025-02-10 13:56:30,2025-02-10 13:56:30,
