A_ID,B_ID,A_NAME,B_NAME,A_MAILADDRESS1,B_MAILADDRESS1,locked_by,lock_timestamp,Status,Assigned To,Last Updated,Created Time,Survivor,Duplicate,Completion Time
1374,1375,Zhejiang Orient Deep-Sea Fishe,Zhejiang Orient Deep-Sea Fishe,"ry Co., Ltd","ry Co., Ltd",,,Open,,2025-02-14 16:12:58,2025-02-14 16:12:58,,,
35126,1460,Dansk Supermarked A/S,Dansk Supermarked Indkoeb AS,Bjoedstrupvej 18,Bjoedstrupvej 18,,,Open,,2025-02-14 16:12:58,2025-02-14 16:12:58,,,
32101,1824,W. A. Turner Ltd,W. A. Turner Ltd,Broadwater Lane,Broadwater Lane,,,Open,,2025-02-14 16:12:58,2025-02-14 16:12:58,,,
1474121,55,Pesquera Mar Chiquita,Pesquera Mar Chiquita S.A.,Posadas 781,Posadas 781,,,Open,,2025-02-14 16:12:58,2025-02-14 16:12:58,,,
9463,324,Alsa Europe N.V,Alsa Europe N.V.,Alsa Villa Bredabaan 4,Alsa Villa Bredabaan 4,,,Open,,2025-02-14 16:12:58,2025-02-14 16:12:58,,,
1131995,840,"West India Trading Co., Inc.",West India Trading Co. Inc.,3401 Douglas B. Floreani,3401 Douglas B. Floreani,,,Open,,2025-02-14 16:12:58,2025-02-14 16:12:58,,,
1468167,6553,"Pacific Coral Seafood Co., Ltd.",Pacific Coral Seafood Company,2240 Northeast 2nd Avenue,2240 Northeast 2nd Avenue,,,Open,,2025-02-14 16:12:58,2025-02-14 16:12:58,,,
736854,6968,"Showa Marine, Inc.","Showa Marine, Inc.",668 S Alameda St,668 S Alameda St,,,Open,,2025-02-14 16:12:58,2025-02-14 16:12:58,,,
2728,8061,ISRAEL COLD STORAGE and SUPPLY C,Israel Cold Storage and Supply,P.O. BOX 1789,P.O. Box 1789,,,Open,,2025-02-14 16:12:58,2025-02-14 16:12:58,,,
53395,8143,Unanimous Oy Farmarin Tukku,Unanimous Oy Hallin Tukku,Sahank 2,Sahank 2,,,Open,,2025-02-14 16:12:58,2025-02-14 16:12:58,,,
65697,6072,Legal Sea Foods Inc.,Legal Sea Foods Inc.,33 Everett Street,33 Everett Street,,,Open,,2025-02-14 16:12:58,2025-02-14 16:12:58,,,
894229,7519,Yell-O-Glow Corporation,Yell-O-Glow Corporation,21 Arlington St,21 Arlington St,,,Open,,2025-02-14 16:12:58,2025-02-14 16:12:58,,,
324,9463,Alsa Europe N.V.,Alsa Europe N.V,Alsa Villa Bredabaan 4,Alsa Villa Bredabaan 4,,,Open,,2025-02-14 16:12:58,2025-02-14 16:12:58,,,
156323,8278,J&J Brokerage,JandJ Brokerage,1005 S ward Street,1005 S Ward Street,,,Open,,2025-02-14 16:12:58,2025-02-14 16:12:58,,,
3234,12277,Arnes Europe B.V.,Arnes Europe BV,Costerweg 5,Costerweg 5,,,Open,,2025-02-14 16:12:58,2025-02-14 16:12:58,,,
1437602,12979,W Van Der Zwan & Zonen B.V.,W van der Zwan & Zn BV,Hellingweg 5,Hellingweg 5,,,Open,,2025-02-14 16:12:58,2025-02-14 16:12:58,,,
900532,9897,Cermaq Chile S.A.,Cermaq Chile S.A.,"Diego Portales 2000, Fl 10","Diego Portales 2000, Fl 10",,,Open,,2025-02-14 16:12:58,2025-02-14 16:12:58,,,
16139,12239,New Zealand Trade Board Tradenz,New Zealand Trade Development Board,Via Guido DArezzo 6,Via Guido DArezzo 6,,,Open,,2025-02-14 16:12:58,2025-02-14 16:12:58,,,
1459483,12891,Southeastern Sea Products Inc.,"Southeastern Seaproducts, Inc.",1500 Maple Avenue,1500 Maple Avenue,,,Open,,2025-02-14 16:12:58,2025-02-14 16:12:58,,,
12239,16139,New Zealand Trade Development Board,New Zealand Trade Board Tradenz,Via Guido DArezzo 6,Via Guido DArezzo 6,,,Open,,2025-02-14 16:12:58,2025-02-14 16:12:58,,,
769404,14632,"Smith & Sons Seafood, Inc.","Smith & Sons Seafood, Inc.",P.O. Box 2118,P.O. Box 2118,,,Open,,2025-02-14 16:12:58,2025-02-14 16:12:58,,,
1877835,15175,Newly Weds Foods Inc.,Newly Weds Foods Inc.,4140 West Fullerton Avenue,4140 West Fullerton Avenue,,,Open,,2025-02-14 16:12:58,2025-02-14 16:12:58,,,
1511716,15107,Green Island Distributors,Green Island Distributors Limited,P.O. Box 39,P.O. Box 39,,,Open,,2025-02-14 16:12:58,2025-02-14 16:12:58,,,
