CD Number,Company Name,Country Name,DUNS,locked_by,lock_timestamp,Status,Assigned To,Last Updated,Created Time,Completion Time
385045,"Zhejiang Shengda Bio-Pharm Co., Ltd.",CN,544882749.0,admin,2025-02-07 23:21:08.432271,Completed,,2025-02-07 23:21:01,2025-02-07 23:21:01,2025-02-07 23:21:12
22428,Rizhao Changhua Aquatic Foodstuff Company Limited,CN,,admin,2025-02-07 23:21:32.008277,Completed,,2025-02-07 23:21:01,2025-02-07 23:21:01,2025-02-07 23:21:40
110750,"Orlando Food Sales, Inc. / Orlando Food Corp",US,827241373.0,admin,2025-02-07 23:36:14.680035,Completed,,2025-02-07 23:35:09,2025-02-07 23:35:09,2025-02-07 23:36:24
22428,Rizhao Changhua Aquatic Foodstuff Company Limited,CN,,admin,2025-02-08 07:54:30.832216,Completed,,2025-02-08 07:54:22,2025-02-08 07:54:22,2025-02-08 07:54:38
22428,Rizhao Changhua Aquatic Foodstuff Company Limited,CN,,admin,2025-02-08 10:49:05.629095,Completed,,2025-02-08 10:48:54,2025-02-08 10:48:54,2025-02-08 10:49:13
241081,"Beihai Wanjing Marine Products Co., Ltd.",CN,527071015.0,admin,2025-02-08 15:47:22.981602,Completed,,2025-02-08 15:46:50,2025-02-08 15:46:50,,2025-02-08 15:47:30
22428,Rizhao Changhua Aquatic Foodstuff Company Limited,CN,,admin,2025-02-08 15:48:25.458529,Completed,,2025-02-08 15:46:50,2025-02-08 15:46:50,,2025-02-08 15:48:36
1,22428,Rizhao Changhua Aquatic Foodstuff Company Limited,CN,78940293.0,admin,2025-02-09 12:22:24.795310,Completed,User1,2025-02-08 07:48:28,2025-02-08 07:48:28,2025-02-09 12:22:34
22428,Rizhao Changhua Aquatic Foodstuff Company Limited,CN,78940293.0,admin,2025-02-09 12:31:20.057404,Completed,User1,2025-02-08 07:48:28,2025-02-08 07:48:28,2025-02-09 12:31:24
385045,"Zhejiang Shengda Bio-Pharm Co., Ltd.",CN,544882749.0,admin,2025-02-09 12:32:16.994238,Completed,,2025-02-08 07:48:28,2025-02-08 07:48:28,2025-02-09 12:32:24
