CD Number,Company Name,Country Name,DUNS
385045,"Zhejiang Shengda Bio-Pharm Co., Ltd.",CN,544882749
22428,Rizhao Changhua Aquatic Foodstuff Company Limited,CN,
20198,Proyecta Corp. Ltda,CL,
659288,"Guangdong Jinhang Foods Co., Ltd.",CN,420813673
163759,Bahlsen GMBH & Co. Kg,DE,341575780
704422,"Ziba Nut, Inc.",US,147493431
658746,Dalian Hualian Food Company Limited,CN,421517665
732748,"Kingfisher Holding Co., Ltd. / Southeast Asian Packaging and Canning Ltd.",TH,
290271,"New Lamthong Foods Industries Co., Ltd.",TH,
110750,"Orlando Food Sales, Inc. / Orlando Food Corp",US,827241373
241081,"Beihai Wanjing Marine Products Co., Ltd.",CN,527071015
30880,Schwermer Dietrich Stiel GmbH,DE,316174655
693082,Dalian Huaqi Food Company Limited,CN,542962500
79731,"Juan Ramon Lozano, S.A. / Lozano (Bodegas) Juan Ramon Lozano S.A. / Bodegas Lozano",ES,466470374
620825,Hoang Long Seafood Processing Company Limited,VN,555219190
733758,Terravita Sp. z o.o.,PL,422193795
76715,Exportadora Unifrutti Traders SpA,CL,980292130
139711,Shandong Oriental Ocean Co.,CN,528130979
734140,"Super J. International Co., Ltd.",TH,660484841
154959,Pastiglie Leone s.r.l,IT,432178978
85918,Piasten GmbH,DE,313228960
734587,Dalian Great Wall Food Company Limited,CN,542957441
734735,"Purdy's Chocolates / R.C. Purdy Chocolates, Ltd.",CA,203498824
52424,"Justo Lopez Valcarcel, S.A.",ES,467010249
55778,Max Riner AG,CH,
449592,Foods Pacific Limited,FJ,631187171
557455,Abastecedora de Jalapenos y Alimentos SA de CV,MX,815336342
689,"Rio Import & Export, Limited",CA,247387665
648573,"JFC Japan, Inc.",JP,690591870
531346,Sandy Bay Seafoods (India) Private Limited,IN,650370633
324284,Laufer Group International Limited,US,76831254
288947,Tropical Canning (Thailand) Public Company Limited,TH,659739965
739989,Xinxing Aquatic Products Processing,CN,
563765,Anvifish Joint-Stock Company,VN,
487640,"Fujian Allied Frozen Foodstuff Company Limited / Fujian Allied Frozen Foodstuff Co., Ltd.",CN,
675950,"Sejoy Electronics &. Instruments Co., Ltd. / Hangzhou Sejoy Electronics And Instruments Co., Ltd.",CN,545241999
270697,Sorrentolio Srl,IT,
314430,MMP International Company Limited,TH,671975710
616076,"Acetar Bio-Tech, Inc. / Xi'an Acetar Bio-Tech, Inc. / Shanxi Tianben Biotec",CN,
164725,Trivento Bodegas Y Vinedos S.A.,AR,971737549
732105,Agathon GmbH & Co. KG,DE,344029611
486756,Shandong Fenghua Food Company Limited,CN,
732329,Saechsische und Dresdner Back- und Suessßwaren GmbH & Co. KG,DE,
355721,Valentino Chocolatier de Leener Bvba,BE,370583997
571497,Viba Sweets GmbH,DE,
577562,Bioplus Life Sciences PVT LTD.,IN,
352513,Corporacion Pipasa S.A.,CR,
287073,"Agro-On (Thailand) Co., Ltd.",TH,660651027
233163,"Natural Food Source, Inc.",US,
384440,"Sea Value Co., Ltd. / I.S.A. Value Co., Ltd.",TH,659736771
270780,"Vara Food & Drink Co., Ltd.",TH,
585,Janes Family Foods Limited,CA,205528847
379641,"Dalian FTZ Lianyang Foods Company Limited / Dalian Free Trade Zone Lianyang Foods Co., Ltd. / Dalian Changyu International Co., Ltd.",CN,542754839
733961,"Dalian Haifenglong Seafoods Co., Ltd.",CN,527976488
75884,Ravico NV,BE,372435474
85043,Unio Divisio Agraria Sociedad Limitada,ES,460025109
717370,Leonard Kreusch Gmbh & Co.,DE,318171410
487156,"Fujian Dongshan Haikui Aquatic Products Group., Ltd / Dongshan Haikui Aquatic Products",CN,420478190
734183,OPM SpA,IT,
6699,Purcell International,US,148134695
87607,"Theppadungporn Coconut Co., Ltd.",TH,
51083,A M P-Rose,UK,
19912,Gadre Marine Export,IN,650687056
139769,"Zhanjiang Go-Harvest Aquatic Products Co., LTD",CN,544742745
734796,Hellenic Juice Industry Aspis S.A.C. Dedes,GR,728454468
366642,L' Armangia Azienda Agricola di Giovine Ignazio,IT,432557654
