A_ID,B_ID,A_NAME,B_NAME,A_MAILADDRESS1,B_MAILADDRESS1
1913055,453,Viking Foods Ltd.,Viking Foods Limited,P.O. Box 640,P.O. Box 640
2227292,1532,Cofrasa Srl,Cofrasa SRL,Km 17 Autopista Duarte,Km 17 Autopista Duarte
1374,1375,Zhejiang Orient Deep-Sea Fishe,Zhejiang Orient Deep-Sea Fishe,"ry Co., Ltd","ry Co., Ltd"
35126,1460,Dansk Supermarked A/S,Dansk Supermarked Indkoeb AS,Bjoedstrupvej 18,Bjoedstrupvej 18
32101,1824,W. A. Turner Ltd,W. A. Turner Ltd,Broadwater Lane,Broadwater Lane
1474121,55,Pesquera Mar Chiquita,Pesquera Mar Chiquita S.A.,Posadas 781,Posadas 781
9463,324,Alsa Europe N.V,Alsa Europe N.V.,Alsa Villa Bredabaan 4,Alsa Villa Bredabaan 4
1131995,840,"West India Trading Co., Inc.",West India Trading Co. Inc.,3401 Douglas B. Floreani,3401 Douglas B. Floreani
1468167,6553,"Pacific Coral Seafood Co., Ltd.",Pacific Coral Seafood Company,2240 Northeast 2nd Avenue,2240 Northeast 2nd Avenue
736854,6968,"Showa Marine, Inc.","Showa Marine, Inc.",668 S Alameda St,668 S Alameda St
2728,8061,ISRAEL COLD STORAGE and SUPPLY C,Israel Cold Storage and Supply,P.O. BOX 1789,P.O. Box 1789
53395,8143,Unanimous Oy Farmarin Tukku,Unanimous Oy Hallin Tukku,Sahank 2,Sahank 2
65697,6072,Legal Sea Foods Inc.,Legal Sea Foods Inc.,33 Everett Street,33 Everett Street
894229,7519,Yell-O-Glow Corporation,Yell-O-Glow Corporation,21 Arlington St,21 Arlington St
324,9463,Alsa Europe N.V.,Alsa Europe N.V,Alsa Villa Bredabaan 4,Alsa Villa Bredabaan 4
156323,8278,J&J Brokerage,JandJ Brokerage,1005 S ward Street,1005 S Ward Street
3234,12277,Arnes Europe B.V.,Arnes Europe BV,Costerweg 5,Costerweg 5
1437602,12979,W Van Der Zwan & Zonen B.V.,W van der Zwan & Zn BV,Hellingweg 5,Hellingweg 5
900532,9897,Cermaq Chile S.A.,Cermaq Chile S.A.,"Diego Portales 2000, Fl 10","Diego Portales 2000, Fl 10"
16139,12239,New Zealand Trade Board Tradenz,New Zealand Trade Development Board,Via Guido DArezzo 6,Via Guido DArezzo 6
1459483,12891,Southeastern Sea Products Inc.,"Southeastern Seaproducts, Inc.",1500 Maple Avenue,1500 Maple Avenue
12239,16139,New Zealand Trade Development Board,New Zealand Trade Board Tradenz,Via Guido DArezzo 6,Via Guido DArezzo 6
769404,14632,"Smith & Sons Seafood, Inc.","Smith & Sons Seafood, Inc.",P.O. Box 2118,P.O. Box 2118
1877835,15175,Newly Weds Foods Inc.,Newly Weds Foods Inc.,4140 West Fullerton Avenue,4140 West Fullerton Avenue
1511716,15107,Green Island Distributors,Green Island Distributors Limited,P.O. Box 39,P.O. Box 39
589061,18768,Lineage - Smithfield Limited Liability Corporation,Lineage - Tar Heel Limited Liability Corporation,4808 Radford Ave,4808 Radford Ave
2194055,16544,P & J Oyster Company Inc.,"P and J Oyster Company, Inc.",1039 Toulouse Street,1039 Toulouse Street
652918,20744,"Corporacion Refrigerados INY, S.A.C.",Corporacion Refrigerados INY S.A.C.,Av. El Derby No. 250,Av. El Derby No. 250
1220031,22886,"Big Bear Of Luverne, Inc.",Big Bear of Luverne Inc.,P.O. Box 247,P.O. Box 247
281930,23490,Allied Bakeries Ltd. / Head Office,"Allied Bakeries, Ltd. / Head Office","Kingsmill Place, Vanwall Road","Kingsmill Place, Vanwall Road"
1487174,22043,"Top's Markets, Inc..",Top's Markets Inc.,6363 Main Street,6363 Main Street
2570168,23951,Culpitt,Culpitt Ltd,Jubilee Industrial Estate,Jubilee Industrial Estate
1777664,23747,Bowman Ingredients Limited,BOWMAN INGREDIENTS HOLDINGS LIMITED,"Arlesey Road, Ickleford, Hitchin","Arlesey Road, Ickleford, Hitchin"
31633,25355,Puremalt Products Ltd,Pure Malt Products Ltd,Victoria Bridge,Victoria Bridge
1409580,26677,"MORRIS & ASSOCIATES, INC",Morris & Assocates Inc,803 MORRIS DRIVE,803 Morris Drive
